x	y	phi[x][y]
0.474747	0.050505	1.940093e-01
0.484848	0.050505	1.945623e-01
0.494949	0.050505	1.948396e-01
0.505051	0.050505	1.948400e-01
0.515152	0.050505	1.945634e-01
0.525253	0.050505	1.940110e-01
0.535354	0.050505	1.931853e-01
0.545455	0.050505	1.920899e-01
0.555556	0.050505	1.907293e-01
0.565657	0.050505	1.891094e-01
0.575758	0.050505	1.872370e-01
0.585859	0.050505	1.851195e-01
0.595960	0.050505	1.827655e-01
0.606061	0.050505	1.801841e-01
0.616162	0.050505	1.773850e-01
0.626263	0.050505	1.743785e-01
0.636364	0.050505	1.711753e-01
0.646465	0.050505	1.677862e-01
0.656566	0.050505	1.642225e-01
0.666667	0.050505	1.604952e-01
0.676768	0.050505	1.566156e-01
0.686869	0.050505	1.525947e-01
0.696970	0.050505	1.484435e-01
0.707071	0.050505	1.441727e-01
0.717172	0.050505	1.397924e-01
0.727273	0.050505	1.353128e-01
0.737374	0.050505	1.307433e-01
0.747475	0.050505	1.260931e-01
0.757576	0.050505	1.213708e-01
0.767677	0.050505	1.165844e-01
0.777778	0.050505	1.117416e-01
0.787879	0.050505	1.068493e-01
0.797980	0.050505	1.019141e-01
0.808081	0.050505	9.694187e-02
0.818182	0.050505	9.193813e-02
0.828283	0.050505	8.690775e-02
0.838384	0.050505	8.185514e-02
0.848485	0.050505	7.678424e-02
0.858586	0.050505	7.169849e-02
0.868687	0.050505	6.660093e-02
0.878788	0.050505	6.149416e-02
0.888889	0.050505	5.638040e-02
0.898990	0.050505	5.126150e-02
0.909091	0.050505	4.613900e-02
0.919192	0.050505	4.101412e-02
0.929293	0.050505	3.588781e-02
0.939394	0.050505	3.076077e-02
0.949495	0.050505	2.563350e-02
0.959596	0.050505	2.050632e-02
0.969697	0.050505	1.537938e-02
0.979798	0.050505	1.025272e-02
0.989899	0.050505	5.126301e-03
1.000000	0.050505	0.000000e+00
0.000000	0.060606	0.000000e+00
0.010101	0.060606	6.150188e-03
0.020202	0.060606	1.230064e-02
0.030303	0.060606	1.845156e-02
0.040404	0.060606	2.460307e-02
0.050505	0.060606	3.075521e-02
0.060606	0.060606	3.690783e-02
0.070707	0.060606	4.306063e-02
0.080808	0.060606	4.921309e-02
0.090909	0.060606	5.536442e-02
0.101010	0.060606	6.151355e-02
0.111111	0.060606	6.765908e-02
0.121212	0.060606	7.379923e-02
0.131313	0.060606	7.993184e-02
0.141414	0.060606	8.605431e-02
0.151515	0.060606	9.216357e-02
0.161616	0.060606	9.825604e-02
0.171717	0.060606	1.043276e-01
0.181818	0.060606	1.103736e-01
0.191919	0.060606	1.163889e-01
0.202020	0.060606	1.223674e-01
0.212121	0.060606	1.283028e-01
0.222222	0.060606	1.341878e-01
0.232323	0.060606	1.400148e-01
0.242424	0.060606	1.457752e-01
0.252525	0.060606	1.514600e-01
0.262626	0.060606	1.570593e-01
0.272727	0.060606	1.625629e-01
0.282828	0.060606	1.679596e-01
0.292929	0.060606	1.732381e-01
0.303030	0.060606	1.783862e-01
0.313131	0.060606	1.833914e-01
0.323232	0.060606	1.882407e-01
0.333333	0.060606	1.929209e-01
0.343434	0.060606	1.974186e-01
0.353535	0.060606	2.017201e-01
0.363636	0.060606	2.058118e-01
0.373737	0.060606	2.096801e-01
0.383838	0.060606	2.133116e-01
0.393939	0.060606	2.166935e-01
0.404040	0.060606	2.198131e-01
0.414141	0.060606	2.226586e-01
0.424242	0.060606	2.252186e-01
0.434343	0.060606	2.274829e-01
0.444444	0.060606	2.294421e-01
0.454545	0.060606	2.310880e-01
0.464646	0.060606	2.324135e-01
0.474747	0.060606	2.334129e-01
0.484848	0.060606	2.340817e-01
0.494949	0.060606	2.344171e-01
0.505051	0.060606	2.344175e-01
0.515152	0.060606	2.340830e-01
0.525253	0.060606	2.334149e-01
0.535354	0.060606	2.324163e-01
0.545455	0.060606	2.310916e-01
0.555556	0.060606	2.294465e-01
0.565657	0.060606	2.274880e-01
0.575758	0.060606	2.252245e-01
0.585859	0.060606	2.226652e-01
0.595960	0.060606	2.198205e-01
0.606061	0.060606	2.167015e-01
0.616162	0.060606	2.133203e-01
0.626263	0.060606	2.096894e-01
0.636364	0.060606	2.058217e-01
0.646465	0.060606	2.017306e-01
0.656566	0.060606	1.974296e-01
0.666667	0.060606	1.929325e-01
0.676768	0.060606	1.882527e-01
0.686869	0.060606	1.834038e-01
0.696970	0.060606	1.783990e-01
0.707071	0.060606	1.732513e-01
0.717172	0.060606	1.679731e-01
0.727273	0.060606	1.625766e-01
0.737374	0.060606	1.570733e-01
0.747475	0.060606	1.514741e-01
0.757576	0.060606	1.457894e-01
0.767677	0.060606	1.400291e-01
0.777778	0.060606	1.342021e-01
0.787879	0.060606	1.283170e-01
0.797980	0.060606	1.223815e-01
0.808081	0.060606	1.164028e-01
0.818182	0.060606	1.103874e-01
0.828283	0.060606	1.043411e-01
0.838384	0.060606	9.826921e-02
0.848485	0.060606	9.217636e-02
0.858586	0.060606	8.606665e-02
0.868687	0.060606	7.994368e-02
0.878788	0.060606	7.381050e-02
0.888889	0.060606	6.766973e-02
0.898990	0.060606	6.152352e-02
0.909091	0.060606	5.537365e-02
0.919192	0.060606	4.922152e-02
0.929293	0.060606	4.306821e-02
0.939394	0.060606	3.691449e-02
0.949495	0.060606	3.076089e-02
0.959596	0.060606	2.460773e-02
0.969697	0.060606	1.845514e-02
0.979798	0.060606	1.230308e-02
0.989899	0.060606	6.151433e-03
1.000000	0.060606	0.000000e+00
0.000000	0.070707	0.000000e+00
0.010101	0.070707	7.174933e-03
0.020202	0.070707	1.435027e-02
0.030303	0.070707	2.152633e-02
0.040404	0.070707	2.870336e-02
0.050505	0.070707	3.588148e-02
0.060606	0.070707	4.306063e-02
0.070707	0.070707	5.024055e-02
0.080808	0.070707	5.742070e-02
0.090909	0.070707	6.460028e-02
0.101010	0.070707	7.177811e-02
0.111111	0.070707	7.895266e-02
0.121212	0.070707	8.612194e-02
0.131313	0.070707	9.328352e-02
0.141414	0.070707	1.004344e-01
0.151515	0.070707	1.075712e-01
0.161616	0.070707	1.146897e-01
0.171717	0.070707	1.217853e-01
0.181818	0.070707	1.288525e-01
0.191919	0.070707	1.358852e-01
0.202020	0.070707	1.428768e-01
0.212121	0.070707	1.498196e-01
0.222222	0.070707	1.567053e-01
0.232323	0.070707	1.635249e-01
0.242424	0.070707	1.702684e-01
0.252525	0.070707	1.769253e-01
0.262626	0.070707	1.834841e-01
0.272727	0.070707	1.899326e-01
0.282828	0.070707	1.962579e-01
0.292929	0.070707	2.024464e-01
0.303030	0.070707	2.084840e-01
0.313131	0.070707	2.143557e-01
0.323232	0.070707	2.200464e-01
0.333333	0.070707	2.255404e-01
0.343434	0.070707	2.308217e-01
0.353535	0.070707	2.358741e-01
0.363636	0.070707	2.406815e-01
0.373737	0.070707	2.452277e-01
0.383838	0.070707	2.494969e-01
0.393939	0.070707	2.534736e-01
0.404040	0.070707	2.571428e-01
0.414141	0.070707	2.604902e-01
0.424242	0.070707	2.635026e-01
0.434343	0.070707	2.661675e-01
0.444444	0.070707	2.684737e-01
0.454545	0.070707	2.704113e-01
0.464646	0.070707	2.719720e-01
0.474747	0.070707	2.731488e-01
0.484848	0.070707	2.739364e-01
0.494949	0.070707	2.743313e-01
0.505051	0.070707	2.743318e-01
0.515152	0.070707	2.739378e-01
0.525253	0.070707	2.731511e-01
0.535354	0.070707	2.719753e-01
0.545455	0.070707	2.704155e-01
0.555556	0.070707	2.684788e-01
0.565657	0.070707	2.661734e-01
0.575758	0.070707	2.635094e-01
0.585859	0.070707	2.604980e-01
0.595960	0.070707	2.571513e-01
0.606061	0.070707	2.534829e-01
0.616162	0.070707	2.495071e-01
